"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
2135,2,2,3,2,3,3,3,2,1,3,1,2,2,3,2,3,2,3,3,2,1,3,1,4,2,4,2,3,2,2,2,2,2,2,2
2136,2,2,3,3,4,3,4,3,5,3,2,2,2,2,3,4,4,4,3,2,2,2,3,2,2,4,-3,4,4,3,2,1,3,1,3
2137,2,2,3,2,3,2,3,2,5,3,2,2,2,2,2,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,2,8,8,2,2
2138,3,3,2,2,2,3,3,3,1,3,1,3,2,3,2,3,2,3,3,2,2,2,2,2,2,3,2,4,4,4,3,3,2,2,2
2139,3,2,2,2,3,3,3,3,5,3,2,1,2,3,1,3,2,3,2,3,2,2,2,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5
2140,4,3,2,3,1,2,3,1,5,3,2,1,2,2,2,4,2,2,1,2,2,2,2,3,2,3,2,3,3,3,3,2,3,2,3
2141,3,3,3,3,3,3,4,1,1,3,1,2,2,3,2,3,3,3,2,2,2,3,2,4,2,4,2,3,3,2,3,2,2,2,2
2142,2,2,2,2,3,2,4,2,5,3,2,1,1,1,1,4,2,4,2,1,1,3,1,3,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
2143,2,2,2,2,4,2,3,2,1,3,1,3,4,3,3,4,3,4,2,2,3,3,3,4,2,3,2,3,3,2,2,3,3,2,3
2144,1,2,4,1,3,2,4,2,1,3,1,2,2,4,1,4,2,3,2,1,1,4,1,3,1,4,1,3,3,2,3,2,3,2,3
2145,2,2,2,2,3,2,3,2,1,3,1,2,2,4,1,3,2,3,2,2,2,2,3,3,2,4,3,3,3,3,3,3,3,3,2
2146,2,3,2,3,2,2,3,3,5,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,1,2
2147,3,3,3,2,2,2,3,3,1,3,1,4,3,3,1,2,2,2,3,2,2,3,1,3,3,3,2,3,3,3,3,3,3,2,3
2148,1,1,3,1,2,1,4,1,5,3,2,1,2,3,1,3,2,4,1,1,2,1,1,4,1,4,1,4,4,1,3,3,4,1,4
2149,4,3,3,4,3,4,1,2,1,3,1,3,2,3,2,3,2,1,2,2,2,3,2,-2,2,3,-2,3,3,1,3,2,3,2,2
2150,2,1,2,4,4,3,4,1,5,3,2,2,2,2,2,4,1,3,1,3,2,2,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
2151,3,4,2,3,2,3,3,3,1,3,1,4,4,2,3,2,4,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2152,2,2,3,2,3,2,3,3,5,3,2,1,2,3,1,4,2,3,1,1,2,3,2,4,2,3,2,3,3,8,8,2,3,2,8
2153,1,2,4,2,3,2,3,2,5,3,2,1,2,4,2,4,2,3,2,1,2,2,-3,3,2,3,2,4,4,4,3,1,2,2,2
2154,1,1,3,1,4,1,1,2,5,3,2,1,1,2,1,3,1,4,2,2,2,2,3,4,4,4,3,-5,-5,-5,-5,-5,-5,-5,-5
2155,1,2,1,2,3,2,3,2,5,3,2,2,2,2,2,4,2,3,2,1,1,1,1,3,1,4,1,4,4,4,4,2,3,1,3
2156,2,2,2,4,2,3,2,4,5,3,2,1,1,3,1,4,1,3,2,1,1,2,1,3,1,3,3,4,4,4,4,3,3,2,2
2157,2,2,3,3,3,2,2,2,1,3,1,4,3,3,4,3,4,3,3,4,4,1,4,1,4,1,4,1,1,4,1,2,1,1,2
2158,1,2,2,2,4,2,3,2,5,3,2,1,2,2,2,3,3,3,2,2,2,3,2,3,2,3,-2,3,3,2,2,2,2,2,3
2159,3,3,3,3,3,3,2,2,3,2,1,3,3,3,3,3,3,2,2,1,1,3,2,3,3,3,2,3,3,2,3,2,3,2,2
2160,4,3,1,1,3,3,4,4,2,3,1,3,3,3,2,3,3,3,3,3,-2,3,2,2,3,3,2,2,2,8,3,3,2,2,2
2161,1,1,3,2,3,2,3,3,5,3,2,2,2,3,1,4,2,2,3,2,2,3,2,3,2,2,3,3,3,1,2,2,3,2,3
2162,1,2,1,1,3,2,4,2,5,3,2,2,2,3,2,3,3,3,3,1,3,1,2,4,3,4,3,4,4,1,4,2,4,1,3
2163,3,3,3,3,4,3,3,3,1,3,1,3,3,2,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,2,4,2,3,2,3
2164,2,2,2,1,2,2,4,2,7,2,2,1,1,4,1,4,1,4,1,1,1,3,2,4,1,4,2,3,3,2,3,2,3,2,3
2165,1,1,1,1,4,1,4,1,5,3,2,1,1,4,1,4,1,4,-2,1,1,2,2,3,1,4,2,3,3,3,2,2,2,2,3
2166,2,2,3,2,2,2,3,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2167,1,3,2,3,3,2,4,2,5,3,2,2,3,3,2,3,2,4,2,1,1,2,1,3,1,4,1,3,3,3,3,2,3,2,3
2168,3,3,3,3,3,3,4,2,1,3,1,2,2,4,3,4,2,4,2,1,2,4,2,4,1,3,1,4,3,2,3,1,3,1,3
2169,1,1,4,1,4,1,4,1,3,2,1,1,1,4,1,4,1,4,1,1,2,2,2,2,2,4,2,4,4,4,3,3,3,1,3
2170,2,2,3,2,3,2,3,2,3,2,1,2,2,3,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,2
2171,1,1,3,1,3,1,4,1,3,2,1,2,2,3,2,3,2,3,2,1,1,1,1,4,1,4,1,3,3,3,3,2,3,2,3
2172,2,2,3,2,3,2,3,2,1,3,1,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2
2173,3,2,3,2,3,3,3,2,1,3,1,2,2,3,2,4,2,3,2,1,1,4,2,3,2,3,1,3,3,2,3,2,3,2,3
2174,2,2,3,3,4,4,3,2,6,3,2,2,3,3,4,2,4,3,2,1,3,2,3,4,2,2,4,3,3,3,1,1,3,2,2
2175,2,2,3,2,3,3,3,2,5,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,1,4,1,3
2176,1,1,4,1,4,1,3,1,5,3,2,1,3,1,1,4,-3,2,2,1,2,2,2,4,1,4,1,1,1,4,2,1,3,1,2
2177,2,2,3,2,4,2,2,2,1,3,1,-2,2,3,4,3,3,3,-2,2,2,3,2,3,2,3,2,3,3,8,3,2,3,2,8
2178,3,2,4,1,3,3,3,3,1,3,1,2,2,3,2,4,2,4,2,2,2,1,2,2,2,4,3,3,3,3,4,3,4,1,3
2179,3,4,3,2,3,4,3,3,6,3,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,4,2,-5,-5,-5,-5,-5,-5,-5,-5
2180,2,2,3,3,3,3,2,2,1,3,1,2,2,3,2,3,3,3,3,2,2,3,2,4,3,3,3,3,3,2,3,2,2,2,3
2181,1,2,2,2,3,2,4,2,5,3,2,1,2,3,2,4,2,3,2,1,2,3,1,4,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5
2182,2,1,2,2,3,2,4,2,1,3,1,1,1,3,1,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,4,4,2,4,4,4,1,4
2183,3,3,-2,2,3,3,3,2,1,3,1,2,2,3,2,4,2,3,3,2,2,3,2,3,2,2,2,4,4,2,2,1,3,2,3
2184,1,1,2,2,2,1,4,2,1,3,1,1,1,1,1,3,1,4,1,1,1,2,3,2,1,4,2,4,4,4,4,2,4,1,4
2185,2,2,4,1,2,2,2,2,1,3,1,3,2,3,1,2,3,3,2,2,2,3,2,3,2,3,2,3,3,2,3,2,2,2,2
2186,1,2,3,2,3,2,3,2,5,3,2,1,2,2,2,4,2,3,2,1,2,2,3,3,1,3,2,3,3,2,3,3,2,2,3
2187,3,2,3,2,4,2,3,3,1,3,1,2,2,3,2,3,2,3,2,1,2,4,1,3,3,3,3,3,3,2,3,2,3,2,3
2188,2,2,2,2,3,3,3,2,1,3,1,2,2,2,1,3,3,4,2,2,3,2,3,4,3,4,4,3,3,2,3,3,3,2,3
2189,2,2,3,3,2,3,2,3,2,3,1,1,2,2,2,2,2,3,2,1,2,2,-2,3,2,3,2,3,2,2,2,2,2,2,3
2190,1,2,2,2,2,2,2,2,5,3,2,2,2,3,2,3,2,3,2,2,2,3,3,3,2,3,2,4,3,3,2,2,4,2,3
2191,1,2,3,2,3,2,3,2,1,3,1,1,1,3,1,3,2,4,2,2,2,3,2,4,2,3,3,3,3,3,3,2,3,2,3
2192,4,3,2,3,3,3,2,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,2,2,3,2,3,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5
2193,2,3,3,2,3,2,2,2,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,2,3,3,2,3,2,3,2,4,3,3,4,1,4,1,2
2194,4,2,3,2,3,2,3,4,1,3,1,2,2,3,2,3,2,3,3,2,2,3,3,2,3,3,2,4,4,3,3,2,4,2,4
2195,2,4,4,1,4,3,2,2,1,3,1,2,2,4,2,4,2,3,2,2,2,4,1,4,1,3,2,3,2,2,3,1,3,1,3
2196,2,2,2,2,3,2,3,2,5,3,2,1,2,3,1,4,2,3,1,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3
2197,1,1,4,2,3,3,3,2,3,2,1,4,2,3,-2,2,3,3,2,1,1,3,2,3,2,3,3,3,3,2,3,2,2,2,2
2198,1,2,3,2,3,3,2,2,1,3,1,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2199,2,2,2,2,3,2,2,2,5,3,2,3,2,2,3,4,3,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2200,1,2,3,2,2,2,3,2,5,3,2,1,1,4,1,3,1,4,1,2,2,3,3,3,2,3,2,4,3,3,3,2,4,1,4
2201,1,1,4,1,2,2,4,1,5,3,2,1,1,4,1,4,1,4,1,1,1,4,1,4,1,4,1,4,4,8,3,2,4,1,8
2202,2,2,3,2,4,2,3,2,1,3,1,1,2,3,2,3,2,3,2,1,2,3,2,3,2,3,-2,4,3,2,2,2,3,2,3
2203,1,1,1,1,2,2,3,2,5,3,2,2,1,3,2,3,3,3,2,1,1,2,2,3,3,4,3,4,4,2,3,1,3,1,3
2204,2,1,3,1,3,1,4,3,5,3,2,2,2,3,2,4,3,3,2,1,1,3,1,3,1,4,2,4,4,1,4,2,4,1,3
2205,2,1,4,2,3,2,3,2,5,3,2,2,2,3,2,4,1,4,2,2,2,3,2,3,-2,4,2,3,3,2,3,2,3,2,3
2206,4,4,3,3,3,2,3,3,5,3,2,3,3,3,2,4,3,3,2,2,3,3,2,3,3,2,3,2,2,2,2,2,1,3,2
2207,4,4,3,3,2,4,3,3,1,3,1,2,2,3,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3
2208,2,2,3,3,4,2,3,2,3,2,1,2,2,1,1,3,2,3,2,2,1,1,1,4,1,3,1,3,3,2,2,2,3,2,2
2209,3,2,3,2,4,3,4,3,3,2,1,3,3,3,2,3,3,4,3,2,2,4,2,4,3,4,2,3,3,2,3,2,3,1,8
2210,2,3,3,2,3,3,1,4,7,2,2,2,3,2,2,4,3,3,2,2,3,2,2,3,3,4,2,8,2,3,8,8,8,2,8
2211,4,4,4,4,4,4,1,2,7,2,2,1,2,4,2,4,3,3,2,1,1,4,1,4,1,4,1,4,4,4,4,2,4,1,4
2212,1,3,3,4,3,2,4,2,7,2,2,1,3,3,2,4,1,4,2,1,1,1,1,4,1,4,1,4,4,2,4,4,4,2,2
2213,2,2,2,2,3,2,2,2,3,2,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,-3,8,8,8,3,8,8,2,8
2214,2,2,3,2,2,2,4,2,7,2,2,1,2,3,1,3,2,3,2,1,1,3,1,3,2,3,2,4,4,4,4,4,4,2,4
2215,2,2,3,2,3,2,4,3,5,3,2,2,2,2,2,4,3,4,4,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,1
2216,3,3,3,1,3,3,2,3,2,3,1,2,2,3,1,4,1,3,3,2,3,2,2,2,3,3,3,4,4,1,4,2,3,2,3
2217,3,2,2,1,3,1,3,2,6,3,2,3,3,1,1,4,2,3,2,2,2,4,1,4,2,3,2,3,3,3,3,1,3,1,2
2218,2,2,3,3,2,2,2,2,1,3,1,2,2,3,3,2,2,1,2,1,1,2,2,3,1,4,1,4,4,4,4,3,2,1,4
2219,3,3,2,2,2,4,3,2,1,3,1,2,2,3,2,2,3,3,-2,2,2,2,1,3,2,4,3,3,3,3,3,2,3,2,2
2220,1,2,3,2,3,2,3,2,1,3,1,2,2,3,2,2,2,3,2,1,2,4,1,4,1,4,2,3,2,2,3,3,3,2,3
2221,1,1,2,3,4,1,4,1,6,3,2,1,2,3,2,3,2,3,2,1,3,2,2,3,2,4,2,1,3,2,2,1,2,1,2
2222,3,3,3,2,2,3,3,3,1,3,1,3,3,3,2,2,2,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,3,2,2
2223,1,1,3,1,4,2,4,1,1,3,1,1,1,3,1,4,2,3,-2,1,2,3,2,4,2,3,2,3,3,2,3,2,3,2,3
2224,3,2,3,2,3,3,3,3,5,3,2,2,2,2,2,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2
2225,1,2,3,2,4,3,4,3,7,2,2,1,1,2,1,3,2,3,2,1,1,1,2,2,1,3,1,4,4,4,4,1,4,1,4
2226,2,3,4,2,2,2,3,4,3,2,1,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5
2227,3,2,3,2,3,2,3,2,1,3,1,2,2,3,2,3,2,3,3,2,3,3,2,4,2,3,2,3,3,3,3,2,3,2,3
2228,4,2,2,2,2,3,1,4,5,3,2,2,2,2,3,3,3,2,3,1,2,3,2,3,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5
2229,2,1,3,1,3,3,4,2,5,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,2,3,3,2,2,8
2230,2,2,3,2,2,3,3,2,5,3,2,1,2,3,2,3,1,4,2,1,2,3,2,3,2,4,1,4,4,2,3,1,3,1,3
2231,3,3,3,2,2,3,3,3,1,3,1,-2,2,3,2,3,2,3,2,2,2,3,3,2,2,3,2,3,3,3,2,3,2,1,2
2232,2,2,2,2,2,2,4,3,5,3,2,2,2,2,2,4,2,3,2,1,3,1,-3,2,2,3,2,3,3,3,3,1,2,1,2
2233,4,3,3,3,3,2,3,2,1,3,1,2,3,3,3,4,2,3,2,1,1,3,2,4,2,4,2,3,3,3,3,2,3,2,3
2234,1,1,3,2,4,2,4,1,5,3,2,2,2,3,3,4,2,3,3,2,3,2,3,4,3,3,3,3,3,3,3,2,2,2,3
2235,1,2,3,2,3,2,3,2,5,3,2,2,2,3,2,3,2,4,2,1,2,3,2,3,1,4,2,2,3,3,2,2,3,2,2
2236,1,2,4,1,3,2,4,2,1,3,1,2,2,2,2,3,3,3,2,1,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
2237,3,3,2,2,3,3,3,2,5,3,2,2,2,2,2,3,2,3,3,2,2,2,2,4,2,3,2,2,4,3,2,2,3,1,3
2238,3,3,2,3,1,3,1,3,1,3,1,2,2,2,2,3,3,3,2,2,2,3,2,4,2,3,2,3,3,3,2,3,3,2,2
2239,2,2,3,2,4,3,3,2,1,3,1,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,4,4,8,3,4,4,1,8
2240,2,2,3,3,4,2,2,3,5,3,2,2,2,3,2,4,2,3,2,2,1,4,2,4,2,4,1,-5,-5,-5,-5,-5,-5,-5,-5
2241,1,2,3,2,4,2,2,3,1,3,1,2,2,3,2,4,2,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2242,1,1,3,1,3,1,3,-2,5,3,2,1,1,3,1,4,1,3,1,1,1,3,1,3,1,3,2,4,4,4,4,2,4,2,4
2243,1,2,2,1,2,2,3,2,5,3,2,2,2,3,2,3,2,3,2,1,1,3,2,3,3,3,4,4,4,4,4,3,2,1,3
2244,2,2,2,1,2,3,3,2,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2245,2,2,2,2,3,3,4,1,5,3,2,1,1,3,2,4,1,4,1,1,1,3,1,3,2,3,2,4,3,3,2,2,2,2,3
2246,2,2,3,3,3,3,4,2,5,3,2,2,3,2,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,2,3,2,3,2,3
2247,2,2,2,2,3,2,3,2,5,3,2,2,2,2,3,3,2,3,2,1,2,2,2,2,2,4,2,3,9,3,2,3,2,2,9
2248,2,2,3,2,3,2,3,2,1,3,1,2,2,3,2,3,3,3,3,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3
2249,1,4,4,1,4,3,3,3,5,3,2,1,2,2,2,2,2,3,2,1,1,3,2,4,1,4,3,-5,-5,-5,-5,-5,-5,-5,-5
2250,3,2,2,2,3,3,3,2,7,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,3,2,3,3,2,3,2,3,2,3
2251,2,3,3,3,3,3,3,3,7,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3
2252,2,2,3,2,4,4,4,3,7,2,2,3,2,3,2,3,2,3,3,2,2,4,2,2,2,3,2,3,3,2,3,2,3,2,3
2253,2,4,2,2,3,3,4,2,7,2,2,2,3,3,2,4,3,4,3,3,2,2,2,3,3,4,-3,4,3,3,4,2,2,1,1
2254,2,2,3,1,4,2,3,2,8,1,2,2,2,3,2,3,3,3,2,2,2,2,2,4,3,4,2,3,3,2,3,2,3,2,3
2255,2,2,-2,2,3,2,3,2,4,1,1,2,3,4,2,3,2,3,2,2,2,3,2,3,2,3,3,8,8,8,8,2,3,2,8
2256,3,3,3,2,3,4,2,2,1,3,1,4,4,2,2,4,3,3,-2,3,3,2,2,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5
2257,1,2,2,2,3,2,3,2,7,2,2,1,2,2,2,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5,4,4,4,4,1,4,2,4
2258,2,2,3,2,3,2,4,3,3,2,1,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,8,8,8,8,8,8,8,8
2259,1,2,3,2,4,2,4,2,7,2,2,1,1,3,1,3,2,4,2,2,2,4,2,4,2,4,1,-5,-5,-5,-5,-5,-5,-5,-5
2260,1,1,4,1,4,1,3,2,7,2,2,1,1,1,1,4,1,4,1,1,1,4,1,4,1,3,1,4,3,1,4,1,3,1,2
2261,4,3,3,2,3,4,3,3,1,3,1,4,2,2,2,2,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,1,2,2,3
2262,1,2,2,2,3,2,3,2,7,2,2,2,2,2,-2,3,3,3,2,2,2,2,2,4,2,2,2,3,3,2,3,2,3,2,3
2263,2,3,4,2,3,2,3,2,3,2,1,1,2,4,2,4,2,3,1,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3
2264,2,3,3,2,3,2,4,2,3,2,1,2,3,3,2,4,3,3,2,1,2,3,1,3,2,3,2,3,3,2,3,2,2,2,3
2265,1,1,3,2,3,3,3,3,7,2,2,1,1,3,-3,2,3,3,2,1,1,3,2,3,2,3,2,4,4,4,4,4,3,2,4
2266,4,1,4,1,2,2,1,3,3,2,1,3,2,3,3,4,3,3,3,1,2,3,-3,2,3,3,2,3,3,3,3,2,2,2,2
2267,2,3,4,2,3,3,1,3,7,2,2,1,3,3,1,3,3,1,3,1,4,1,1,4,4,4,4,4,3,4,3,1,4,1,1
2268,4,1,3,2,4,4,3,1,7,2,2,1,-3,2,2,3,2,1,1,1,2,2,1,3,2,4,1,4,3,2,3,2,4,2,3
2269,2,2,2,2,4,3,4,2,3,2,1,3,3,4,3,4,3,2,3,2,2,3,2,4,2,3,4,3,3,1,4,1,4,1,3
2270,2,2,2,2,4,2,3,2,7,2,2,1,2,2,3,3,2,4,2,1,2,2,2,3,2,3,2,3,3,3,3,2,3,1,3
2271,1,2,1,2,4,3,4,1,7,2,2,1,1,4,1,4,1,4,1,1,1,1,1,4,1,4,1,4,4,3,3,1,4,1,4
2272,1,2,2,2,2,1,3,2,7,2,2,1,1,2,1,3,2,3,1,1,2,2,2,3,2,4,2,2,2,3,3,3,3,2,8
2273,2,1,3,2,3,3,3,3,3,2,1,4,3,4,4,4,4,4,4,2,2,4,2,4,4,4,4,3,3,3,3,2,3,2,2
2274,2,3,2,3,4,3,3,3,5,3,2,1,2,3,3,-2,3,3,3,1,2,3,2,4,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
2275,2,2,2,2,3,3,3,2,5,3,2,2,2,3,2,2,2,4,3,2,2,3,2,3,2,3,2,3,3,2,2,2,3,2,3
2276,3,2,3,3,4,4,3,3,2,3,1,1,2,2,3,2,3,4,3,2,2,3,2,3,3,3,2,3,3,2,2,2,3,2,2
2277,2,3,3,2,3,3,3,2,1,3,1,-2,3,3,2,3,3,3,-2,2,2,2,1,2,2,3,2,4,4,3,3,2,3,1,3
2278,2,2,3,3,3,3,2,2,5,3,2,-2,2,2,3,3,3,3,-2,2,3,2,3,2,4,3,2,2,3,2,2,2,2,2,3
2279,2,2,3,1,3,2,3,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2280,1,2,2,1,2,2,3,2,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2281,2,2,3,2,4,4,2,1,5,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,2,3,2,3
2282,2,2,2,1,2,3,3,2,5,3,2,2,-2,3,2,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2283,3,2,4,2,3,4,3,3,6,3,2,2,2,3,2,4,2,4,3,2,2,4,2,4,2,4,2,4,3,3,2,1,2,2,3
2284,2,2,3,2,4,2,3,2,5,3,2,-2,2,3,-3,3,2,4,2,2,1,4,2,4,1,4,2,3,3,3,3,2,4,1,4
2285,1,2,3,2,4,2,3,2,5,3,2,2,2,3,2,4,1,4,1,1,1,4,1,4,1,4,2,4,4,1,4,1,4,1,4
2286,2,2,3,2,3,2,4,1,5,3,2,1,1,3,1,2,2,4,2,1,2,2,2,3,3,3,2,4,4,4,3,4,4,2,3
2287,3,3,2,3,2,3,2,3,5,3,2,3,4,2,2,3,3,3,2,2,2,3,3,3,2,4,2,4,3,3,3,3,2,1,3
2288,1,2,2,2,3,2,3,2,5,3,2,2,2,2,2,3,2,3,2,2,2,2,3,2,3,4,2,3,3,3,3,3,3,2,3
2289,1,2,2,2,3,3,3,2,5,3,2,2,2,2,2,3,2,4,2,1,1,3,2,3,2,3,-3,4,4,3,4,2,4,1,3
2290,2,2,3,3,3,2,3,3,5,3,2,2,2,3,2,3,2,3,2,1,2,4,2,3,1,4,1,2,2,3,2,2,2,1,2
2291,2,2,3,2,3,1,3,2,1,3,1,2,2,3,2,3,2,2,-2,1,1,3,2,3,1,3,1,4,4,4,2,3,3,2,3
2292,2,3,2,3,3,2,3,2,5,3,2,2,2,3,1,3,3,3,2,1,1,4,1,4,3,4,1,-5,-5,-5,-5,-5,-5,-5,-5
2293,2,2,3,3,4,2,3,2,1,3,1,2,2,3,2,3,2,3,2,2,3,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
2294,1,1,2,2,2,2,4,2,5,3,2,-2,3,2,2,-2,3,-2,3,1,2,2,2,2,2,4,2,4,4,4,4,2,4,1,4
2295,1,2,4,2,2,2,4,2,5,3,2,2,2,3,3,3,2,4,2,1,1,4,2,3,2,3,2,4,4,2,2,3,3,2,3
2296,3,2,2,3,2,3,2,2,5,3,2,2,2,-2,-2,-2,2,3,-2,2,2,2,2,3,2,3,2,3,3,3,3,2,3,1,3
2297,3,3,2,2,2,3,3,3,5,3,2,2,2,2,2,3,2,3,2,1,2,3,1,4,1,4,2,3,3,4,3,1,3,1,3
2298,2,2,4,2,4,3,4,2,5,3,2,1,2,3,2,3,1,3,2,4,4,4,-2,4,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
2299,2,2,2,3,3,2,4,2,5,3,2,2,2,2,3,3,2,4,2,2,2,3,3,3,2,4,2,3,3,2,2,2,3,2,3
2300,2,2,3,2,3,2,3,2,1,3,1,1,2,3,2,3,2,3,2,1,1,3,1,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5
2301,2,2,3,2,4,2,3,3,5,3,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,4,2,8,8,8,3,2,3,1,3
2302,2,2,3,2,3,2,3,2,1,3,1,2,2,3,2,3,2,3,2,1,1,3,1,2,-2,3,2,3,3,3,3,2,3,2,2
2303,3,3,2,3,2,3,2,3,1,3,1,-2,3,-2,3,-2,3,-2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2304,2,2,3,2,2,2,3,2,1,3,1,2,2,3,2,4,2,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2,3,2,2
2305,4,3,1,1,3,3,3,2,1,3,1,4,4,1,4,4,4,1,2,2,2,3,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
2306,1,2,3,2,3,3,3,2,1,3,1,2,2,3,2,3,3,3,2,2,2,3,1,3,2,3,2,3,3,3,2,2,3,2,4
2307,2,2,3,1,4,2,4,2,1,3,1,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5
2308,2,2,1,2,3,1,2,2,6,3,2,1,2,2,2,3,2,2,1,1,2,3,2,4,2,2,3,-5,-5,-5,-5,-5,-5,-5,-5
2309,1,1,4,3,4,4,1,2,3,2,1,1,1,4,1,4,3,1,1,1,1,4,4,4,4,1,4,2,2,3,2,3,2,3,2
2310,1,4,2,3,3,2,4,1,7,2,2,2,1,2,2,4,3,3,2,1,1,2,2,3,1,4,2,4,3,2,2,2,3,2,3
2311,2,2,4,2,3,2,2,2,6,3,2,2,3,2,3,2,2,1,2,2,-2,2,-2,3,3,2,2,2,2,2,2,1,2,4,2
2312,2,1,3,2,2,4,3,2,1,3,1,1,2,4,2,2,2,3,1,1,1,4,1,1,1,4,-3,-5,-5,-5,-5,-5,-5,-5,-5
2313,1,2,3,2,4,1,4,2,5,3,2,1,2,3,2,3,1,4,2,1,2,3,2,3,2,4,1,4,4,3,3,2,4,1,3
2314,2,2,2,3,3,2,2,2,1,3,1,2,2,3,2,4,2,3,2,3,2,3,3,2,3,2,3,2,3,2,2,2,2,2,2
2315,1,2,3,2,2,2,2,2,5,3,2,1,2,3,1,4,3,3,2,1,1,1,1,3,3,3,2,3,3,2,2,2,2,2,3
2316,2,3,2,2,3,2,4,3,1,3,1,2,2,4,2,4,2,4,2,1,1,4,2,3,1,4,2,4,3,2,3,1,3,1,3
