"R0000100","R0153800","R0153900","R0154000","R0154100","R0154200","R0154300","R0154400","R0154500","R0173600","R0214700","R0214800","R0799500","R0799600","R0799700","R0799800","R0799900","R0800000","R0800100","R0800200","R2364600","R2364700","R2364800","R2364900","R2365000","R2365100","R2365200","R2365300","R8418500","R8418501","R8418502","R8418503","R8418504","R8418505","R8418506","R8418507"
40,2,2,3,2,2,2,3,2,2,3,1,2,2,2,2,3,2,3,2,2,2,3,2,3,2,3,2,4,4,3,3,3,3,1,3
41,3,4,2,2,4,3,3,2,2,3,1,1,1,4,2,4,1,3,1,1,3,3,3,4,1,3,2,4,2,3,3,3,3,2,3
42,2,2,3,2,4,2,3,2,1,3,1,3,4,3,3,3,3,3,2,2,2,3,2,3,3,2,2,3,3,2,3,2,3,2,3
43,1,2,4,4,4,2,4,2,6,3,2,1,2,3,2,4,2,4,1,1,1,2,2,4,2,3,2,4,4,2,2,2,4,2,2
44,2,2,3,2,4,2,3,3,5,3,2,1,2,3,1,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,2,2
45,2,2,3,3,3,2,3,2,1,3,1,2,2,3,2,3,2,3,2,1,1,4,1,2,2,3,-3,-5,-5,-5,-5,-5,-5,-5,-5
46,2,3,3,2,3,2,3,2,5,3,2,2,-2,3,2,3,2,3,2,1,-2,3,2,3,2,4,2,4,3,2,3,2,3,2,3
47,2,2,3,1,3,2,2,2,1,3,1,2,2,3,2,4,2,3,2,2,2,3,2,3,2,3,2,3,2,8,2,2,2,2,8
48,3,3,3,2,3,3,1,3,2,3,1,3,3,3,2,4,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,1,1,3,2,3,1,4,2,5,3,2,4,3,1,4,2,4,2,3,3,2,1,1,3,1,4,3,3,4,3,3,2,3,1,4
50,2,2,2,2,2,2,3,2,5,3,2,1,1,3,2,2,2,4,2,1,1,3,1,3,2,4,4,4,4,2,3,2,3,1,3
51,2,2,3,3,3,3,3,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,4,4,3,3,3,4,3,3,1,3,1,4,4,1,3,2,4,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,2,2,2,3,2,3,4,2,4,1,1,3,1,3,1,3,2,4,3,1,2,2,2,4,2,3,2,4,2,8,3,2,4,1,8
54,2,2,3,2,3,2,3,3,1,3,1,3,3,2,2,4,3,3,2,3,3,2,3,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5
55,2,3,3,2,3,2,3,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,1,1,4,3,4,1,3,2,5,3,2,1,2,1,3,4,1,4,-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,1,2,3,2,2,2,4,1,5,3,2,1,1,4,2,3,1,4,1,1,1,4,1,4,1,3,1,4,4,2,4,2,4,1,3
58,1,2,2,2,2,1,4,2,5,3,2,1,2,3,2,3,1,4,2,1,2,4,2,3,1,4,1,4,4,1,3,2,3,2,4
59,2,3,-2,2,2,2,3,-2,1,3,1,2,2,3,2,3,2,3,-2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,2,8
60,2,2,3,2,3,2,2,2,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,2,2,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5
61,2,2,2,2,2,1,3,2,5,3,2,2,2,2,2,2,3,3,2,1,1,3,1,3,2,4,1,4,4,3,3,2,3,1,4
62,1,2,3,1,2,2,4,2,5,3,2,1,2,4,2,3,1,3,2,1,1,4,1,3,2,4,1,4,3,2,4,1,3,1,3
63,2,2,3,2,4,2,3,2,1,3,1,2,2,3,2,3,2,3,2,2,2,3,2,4,1,3,2,3,3,3,3,1,3,2,3
64,2,2,3,2,3,2,3,2,1,3,1,1,3,2,2,4,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,1,2,2,2,3,2,4,2,5,3,2,1,1,2,1,4,1,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,4,3,2,1,3,3,2,1,1,3,1,2,3,2,3,4,2,3,2,2,2,3,2,3,3,3,2,3,3,3,3,1,3,2,2
67,3,2,2,2,2,2,1,2,1,3,1,4,4,2,3,4,2,3,2,2,2,3,3,1,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5
68,1,2,2,2,2,3,4,2,5,3,2,1,2,2,2,3,2,4,3,1,2,2,2,3,2,4,3,4,3,3,3,3,3,1,2
69,1,2,2,2,2,2,3,2,1,3,1,1,2,2,2,3,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,4,4,3,4,2,4,1,2
70,1,2,4,1,2,2,3,-2,1,3,1,2,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,3,3,2,3,2,3,2,3
71,2,2,2,2,3,2,3,2,1,3,1,1,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5
72,3,2,2,1,3,3,4,2,5,3,2,3,2,2,2,3,3,4,3,3,2,2,3,2,3,3,3,4,3,3,3,2,4,1,2
73,2,2,2,2,3,2,3,2,1,3,1,2,2,3,2,4,2,3,2,-5,-5,-5,-5,-5,-5,-5,-5,4,4,2,3,2,3,2,3
74,1,4,1,1,3,2,3,1,5,3,2,1,1,2,1,4,1,4,1,1,1,2,1,3,1,4,1,-5,-5,-5,-5,-5,-5,-5,-5
75,2,2,2,2,3,2,4,2,5,3,2,1,1,2,1,4,2,4,1,1,2,2,1,3,2,4,2,4,4,3,3,3,4,2,3
76,2,1,2,2,3,2,3,2,1,3,1,2,3,3,2,3,2,3,2,1,1,3,2,3,1,4,1,4,4,1,4,1,4,2,3
77,2,2,3,2,1,2,3,2,5,3,2,2,1,3,1,2,2,3,2,1,1,2,2,2,2,3,2,3,3,8,3,3,3,1,3
